Year,Month.1,entry test,Month Name
2004,1,0,January
2004,2,35,February
2004,3,16,March
2004,4,16,April
2004,5,13,May
2004,6,13,June
2004,7,13,July
2004,8,57,August
2004,9,26,September
2004,10,10,October
2004,11,10,November
2004,12,12,December
2005,1,15,January
2005,2,17,February
2005,3,7,March
2005,4,19,April
2005,5,6,May
2005,6,27,June
2005,7,13,July
2005,8,15,August
2005,9,39,September
2005,10,100,October
2005,11,11,November
2005,12,7,December
2006,1,10,January
2006,2,9,February
2006,3,8,March
2006,4,13,April
2006,5,9,May
2006,6,9,June
2006,7,26,July
2006,8,28,August
2006,9,46,September
2006,10,9,October
2006,11,50,November
2006,12,6,December
2007,1,8,January
2007,2,4,February
2007,3,4,March
2007,4,6,April
2007,5,14,May
2007,6,11,June
2007,7,18,July
2007,8,51,August
2007,9,48,September
2007,10,13,October
2007,11,49,November
2007,12,6,December
2008,1,4,January
2008,2,7,February
2008,3,2,March
2008,4,7,April
2008,5,11,May
2008,6,19,June
2008,7,18,July
2008,8,44,August
2008,9,48,September
2008,10,13,October
2008,11,6,November
2008,12,3,December
2009,1,7,January
2009,2,4,February
2009,3,2,March
2009,4,6,April
2009,5,23,May
2009,6,18,June
2009,7,27,July
2009,8,49,August
2009,9,22,September
2009,10,15,October
2009,11,24,November
2009,12,10,December
2010,1,11,January
2010,2,11,February
2010,3,3,March
2010,4,12,April
2010,5,14,May
2010,6,28,June
2010,7,74,July
2010,8,80,August
2010,9,55,September
2010,10,31,October
2010,11,11,November
2010,12,16,December
2011,1,13,January
2011,2,10,February
2011,3,11,March
2011,4,16,April
2011,5,18,May
2011,6,31,June
2011,7,62,July
2011,8,57,August
2011,9,77,September
2011,10,17,October
2011,11,11,November
2011,12,6,December
2012,1,7,January
2012,2,5,February
2012,3,5,March
2012,4,8,April
2012,5,13,May
2012,6,24,June
2012,7,56,July
2012,8,39,August
2012,9,62,September
2012,10,18,October
2012,11,7,November
2012,12,8,December
2013,1,6,January
2013,2,6,February
2013,3,7,March
2013,4,9,April
2013,5,10,May
2013,6,29,June
2013,7,34,July
2013,8,47,August
2013,9,30,September
2013,10,12,October
2013,11,9,November
2013,12,7,December
2014,1,5,January
2014,2,4,February
2014,3,5,March
2014,4,6,April
2014,5,14,May
2014,6,22,June
2014,7,24,July
2014,8,39,August
2014,9,28,September
2014,10,9,October
2014,11,8,November
2014,12,7,December
2015,1,5,January
2015,2,4,February
2015,3,6,March
2015,4,7,April
2015,5,11,May
2015,6,20,June
2015,7,25,July
2015,8,35,August
2015,9,18,September
2015,10,9,October
2015,11,8,November
2015,12,7,December
2016,1,6,January
2016,2,4,February
2016,3,7,March
2016,4,6,April
2016,5,11,May
2016,6,23,June
2016,7,40,July
2016,8,32,August
2016,9,23,September
2016,10,9,October
2016,11,9,November
2016,12,8,December
